benchmark_id,benchmark_family,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,throughput_bytes_per_sec,compiled_instruction_count,binary_size_bytes
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,same_A,completed,,152826035.64897537,5,29528
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,same_A,completed,,161718430.8905986,5,29456
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,same_A,completed,,146210306.01829666,4,29488
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,same_A,completed,,6136795454545.455,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,same_A,completed,,5094698113207.547,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,same_A,completed,,191095978.63272664,4,25352
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,same_A,completed,,165394849.35427043,5,29528
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,same_A,completed,,166139978.46485156,5,29456
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,same_A,completed,,147730256.96690637,4,29488
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,same_A,completed,,5192673076923.077,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,same_A,completed,,5869978260869.565,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,same_A,completed,,190438676.36095887,4,25352
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,same_A,completed,,164967821.31942976,5,29488
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,same_A,completed,,169628570.97985017,5,29416
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,same_A,completed,,151279877.7744598,4,29448
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,same_A,completed,,5745085106382.9795,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,same_A,completed,,5869978260869.565,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,same_A,completed,,228702324.21439925,4,25312
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,same_A,completed,,164802997.98283118,5,29488
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,same_A,completed,,169540702.6025806,5,29416
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,same_A,completed,,152871200.3564479,4,29448
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,same_A,completed,,5400380000000.0,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,same_A,completed,,5625395833333.333,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,same_A,completed,,209913436.2355063,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,same_A,completed,,150007222.06173196,5,29488
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,same_A,completed,,169971220.23195034,5,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,same_A,completed,,141485429.5981363,4,29448
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,same_A,completed,,4821767857142.857,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,same_A,completed,,5192673076923.077,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,same_A,completed,,215005876.41376323,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,same_A,completed,,147931866.2811943,4,29520
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,same_A,completed,,168524886.87782806,4,29456
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,same_A,completed,,141411998.95886195,1,29480
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,same_A,completed,,4909436363636.363,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,same_A,completed,,5192673076923.077,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,same_A,completed,,218367984.00688377,1,25352
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,same_B,completed,,160943061.00728974,5,29528
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,same_B,completed,,179039221.39632437,5,29456
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,same_B,completed,,152528678.05406108,4,29488
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,same_B,completed,,3947701754385.965,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,same_B,completed,,4245641509433.9624,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,same_B,completed,,193920878.34431407,4,25352
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,same_B,completed,,171471789.5571067,5,29528
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,same_B,completed,,181683930.5654576,5,29456
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,same_B,completed,,152388195.44946322,4,29488
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,same_B,completed,,4500380000000.0,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,same_B,completed,,4500380000000.0,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,same_B,completed,,193821325.6086983,4,25352
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,same_B,completed,,169094788.03691515,5,29488
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,same_B,completed,,182918482.14866358,5,29416
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,same_B,completed,,167327368.05863845,4,29448
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,same_B,completed,,4245641509433.9624,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,same_B,completed,,4500380000000.0,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,same_B,completed,,220883616.92394984,4,25312
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,same_B,completed,,176471649.28240922,5,29488
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,same_B,completed,,190924957.55460206,5,29416
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,same_B,completed,,168238756.24486917,4,29448
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,same_B,completed,,4787638297872.341,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,same_B,completed,,4592224489795.918,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,same_B,completed,,235162990.76984817,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,same_B,completed,,177468036.7619629,5,29488
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,same_B,completed,,188446760.32936037,5,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,same_B,completed,,168816203.18653065,4,29448
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,same_B,completed,,4787638297872.341,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,same_B,completed,,5233000000000.0,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,same_B,completed,,237416159.60615456,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,same_B,completed,,173940501.91125146,4,29520
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,same_B,completed,,192565873.36225855,4,29456
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,same_B,completed,,164269987.41433132,1,29480
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,same_B,completed,,3947701754385.965,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,same_B,completed,,5000422222222.223,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,same_B,completed,,228090003.81131554,1,25352
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,A_to_B,completed,,168867385.75585037,5,29528
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,A_to_B,completed,,188100355.18707716,5,29456
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,A_to_B,completed,,162119887.98101413,4,29488
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,A_to_B,completed,,4687895833333.333,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,A_to_B,completed,,4412137254901.961,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,A_to_B,completed,,204387882.72941056,4,25352
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,A_to_B,completed,,177344533.20555097,5,29528
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,A_to_B,completed,,189862213.8596151,5,29456
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,A_to_B,completed,,163468286.19790342,4,29488
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,A_to_B,completed,,4245641509433.9624,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,A_to_B,completed,,4787638297872.341,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,A_to_B,completed,,201681071.45449966,4,25352
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,A_to_B,completed,,178663503.3986869,5,29488
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,A_to_B,completed,,193245232.3985634,5,29416
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,A_to_B,completed,,165016034.53750646,4,29448
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,A_to_B,completed,,3879637931034.4824,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,A_to_B,completed,,4687895833333.333,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,A_to_B,completed,,230551072.9965523,4,25312
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,A_to_B,completed,,179806624.31579366,5,29488
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,A_to_B,completed,,192685422.6518982,5,29416
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,A_to_B,completed,,164241091.40303332,4,29448
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,A_to_B,completed,,4787638297872.341,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,A_to_B,completed,,5000422222222.223,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,A_to_B,completed,,239388281.6032341,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,A_to_B,completed,,179887695.60135776,5,29488
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,A_to_B,completed,,192868083.3702609,5,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,A_to_B,completed,,170981495.2854884,4,29448
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,A_to_B,completed,,5114068181818.183,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,A_to_B,completed,,5000422222222.223,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,A_to_B,completed,,246593191.7533049,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,A_to_B,completed,,175512394.41870913,4,29520
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,A_to_B,completed,,191084008.72288534,4,29456
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,A_to_B,completed,,170018390.65869385,1,29480
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,A_to_B,completed,,4412137254901.961,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,A_to_B,completed,,5000422222222.223,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,A_to_B,completed,,235503621.21656132,1,25352
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,B_to_A,completed,,155934237.341774,5,29528
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,B_to_A,completed,,166784952.1144682,5,29456
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,B_to_A,completed,,146653175.52389517,4,29488
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,B_to_A,completed,,6279511627906.977,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,B_to_A,completed,,5625395833333.333,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,B_to_A,completed,,192738275.5563677,4,25352
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,B_to_A,completed,,165956994.34925467,5,29528
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,B_to_A,completed,,173907582.99638426,5,29456
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,B_to_A,completed,,148549080.18830296,4,29488
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,B_to_A,completed,,5294490196078.432,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,B_to_A,completed,,5745085106382.9795,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,B_to_A,completed,,190094787.26370063,4,25352
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,B_to_A,completed,,164956030.0931936,5,29488
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,B_to_A,completed,,175375162.7789162,5,29416
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,B_to_A,completed,,153286631.50783694,4,29448
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,B_to_A,completed,,5745085106382.9795,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,B_to_A,completed,,5510591836734.693,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,B_to_A,completed,,220142609.76190397,4,25312
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,B_to_A,completed,,164670231.42467538,5,29488
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,B_to_A,completed,,174597693.7914196,5,29416
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,B_to_A,completed,,153032869.71414906,4,29448
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,B_to_A,completed,,5869978260869.565,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,B_to_A,completed,,5745085106382.9795,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_Os,-Os,B_to_A,completed,,218148341.7449185,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,B_to_A,completed,,164218962.6713991,5,29488
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,B_to_A,completed,,168682278.05004513,5,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,B_to_A,completed,,146755039.59389758,4,29448
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O2,-O2,B_to_A,completed,,5745085106382.9795,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_O3,-O3,B_to_A,completed,,5294490196078.432,4,29416
BM1,Small C-like lexer,binary,binary,off,B5_TREE,clang,clang_Os,-Os,B_to_A,completed,,231465424.49914834,4,25312
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,B_to_A,completed,,159092623.0995661,4,29520
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,B_to_A,completed,,173844546.2686894,4,29456
BM1,Small C-like lexer,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,B_to_A,completed,,154083320.1135343,1,29480
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O2,-O2,B_to_A,completed,,5192673076923.077,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_O3,-O3,B_to_A,completed,,6000422222222.223,3,29448
BM1,Small C-like lexer,binary,binary,off,B5_DAG,clang,clang_Os,-Os,B_to_A,completed,,232856700.5837393,1,25352
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O2,-O2,uniform,completed,,152226465.4712656,5,29528
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_O3,-O3,uniform,completed,,166192742.93515122,5,29456
BM1,Small C-like lexer,binary,binary,off,B1,gcc,gcc_Os,-Os,uniform,completed,,147156776.8829701,4,29488
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O2,-O2,uniform,completed,,5400380000000.0,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_O3,-O3,uniform,completed,,5510591836734.693,4,29456
BM1,Small C-like lexer,binary,binary,off,B1,clang,clang_Os,-Os,uniform,completed,,190194273.3012092,4,25352
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O2,-O2,uniform,completed,,165559032.05058637,5,29528
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_O3,-O3,uniform,completed,,175619029.77963966,5,29456
BM1,Small C-like lexer,binary,binary,off,B2,gcc,gcc_Os,-Os,uniform,completed,,147547576.64693856,4,29488
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O2,-O2,uniform,completed,,6429023809523.81,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_O3,-O3,uniform,completed,,5745085106382.9795,4,29456
BM1,Small C-like lexer,binary,binary,off,B2,clang,clang_Os,-Os,uniform,completed,,189771875.11640278,4,25352
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O2,-O2,uniform,completed,,162724197.07285795,5,29488
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_O3,-O3,uniform,completed,,176018570.60814047,5,29416
BM1,Small C-like lexer,binary,binary,off,B3,gcc,gcc_Os,-Os,uniform,completed,,151881482.28145933,4,29448
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O2,-O2,uniform,completed,,5400380000000.0,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_O3,-O3,uniform,completed,,5625395833333.333,4,29416
BM1,Small C-like lexer,binary,binary,off,B3,clang,clang_Os,-Os,uniform,completed,,230992178.47081962,4,25312
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O2,-O2,uniform,completed,,163786352.70425603,5,29488
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_O3,-O3,uniform,completed,,174111673.81763926,5,29416
BM1,Small C-like lexer,binary,binary,off,B4,gcc,gcc_Os,-Os,uniform,completed,,153424070.65647244,4,29448
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O2,-O2,uniform,completed,,5510591836734.693,4,29416
BM1,Small C-like lexer,binary,binary,off,B4,clang,clang_O3,-O3,uniform,completed,,5625395833333.333,4,29416
