benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,status,error_message,throughput_bytes_per_sec,avg_semantic_comparisons_per_visited_state
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,164967821.31942976,1.0
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,169628570.97985017,1.0
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,151279877.7744598,1.0
BM1,binary,binary,off,B3,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5745085106382.9795,1.0
BM1,binary,binary,off,B3,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5869978260869.565,1.0
BM1,binary,binary,off,B3,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,228702324.21439925,1.0
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,164802997.98283118,1.0
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,169540702.6025806,1.0
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,152871200.3564479,1.0
BM1,binary,binary,off,B4,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5400380000000.0,1.0
BM1,binary,binary,off,B4,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5625395833333.333,1.0
BM1,binary,binary,off,B4,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,209913436.2355063,1.0
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,169094788.03691515,1.0
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,182918482.14866358,1.0
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,167327368.05863845,1.0
BM1,binary,binary,off,B3,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,4245641509433.9624,1.0
BM1,binary,binary,off,B3,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4500380000000.0,1.0
BM1,binary,binary,off,B3,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,220883616.92394984,1.0
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,176471649.28240922,1.0
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,190924957.55460206,1.0
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,168238756.24486917,1.0
BM1,binary,binary,off,B4,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,4787638297872.341,1.0
