benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B1,gcc_O2,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,10769304.032877505
BM1,coarse,B1,gcc_O3,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,1593890.1742277145
BM1,coarse,B1,gcc_Os,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,5547541.828344822
BM1,coarse,B1,clang_O2,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,255337115839.24316
BM1,coarse,B1,clang_O3,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,601155473098.3301
BM1,coarse,B1,clang_Os,same_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-41605509.62874997
BM1,coarse,B2,gcc_O2,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,5386275.112008601
BM1,coarse,B2,gcc_O3,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,238944.3270972669
BM1,coarse,B2,gcc_Os,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,8640372.952736586
BM1,coarse,B2,clang_O2,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-216101640656.26172
BM1,coarse,B2,clang_O3,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,530697720125.78613
BM1,coarse,B2,clang_Os,same_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-299943.63466617465
BM1,coarse,B3,gcc_O2,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-5782771.370096356
BM1,coarse,B3,gcc_O3,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,593609.1227551997
BM1,coarse,B3,gcc_Os,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,7018990.639248073
BM1,coarse,B3,clang_O2,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,391710348162.4756
BM1,coarse,B3,clang_O3,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,119689273049.64648
BM1,coarse,B3,clang_Os,same_A,coarse,coarse,1,1,1,1,0.5682793266455528,0.0,1.1478930371156217,-6933192.8303305805
BM1,coarse,B4,gcc_O2,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,577284.5391435921
BM1,coarse,B4,gcc_O3,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,13448548.999322683
BM1,coarse,B4,gcc_Os,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-1043656.4273386598
BM1,coarse,B4,clang_O2,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,534426521523.9971
BM1,coarse,B4,clang_O3,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-432722756410.25586
BM1,coarse,B4,clang_Os,same_A,coarse,coarse,1,1,1,1,0.011334383824516348,0.0,0.0,-1781606.2038846612
BM1,coarse,B5_TREE,gcc_O2,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,11820023.865317702
BM1,coarse,B5_TREE,gcc_O3,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,33524049.24063295
BM1,coarse,B5_TREE,gcc_Os,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,4450865.719427049
BM1,coarse,B5_TREE,clang_O2,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,0.0
BM1,coarse,B5_TREE,clang_O3,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-244582427536.23242
BM1,coarse,B5_TREE,clang_Os,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,4402864.492889434
BM1,coarse,B5_DAG,gcc_O2,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,5152116.65375036
BM1,coarse,B5_DAG,gcc_O3,same_A,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-12180025.104696095
